Model,Accuracy,F1-Score (Weighted),F1-Score (Macro),Precision (Weighted),Precision (Macro),Recall (Weighted),Recall (Macro),ROC-AUC (OvR)
Logistic Regression,0.6660808435852372,0.6610908519148345,0.6622080918835703,0.6625268993711243,0.6630642379821744,0.6660808435852372,0.6677429742333953,0.8346809227030964
Random Forest,0.75671604318353,0.7519904509954981,0.7529234677277047,0.7559204600870763,0.7560133654243351,0.75671604318353,0.7583997483810454,0.911988263052775
XGBoost,0.772533266382124,0.7692381776022043,0.7701308283068068,0.7705228516406506,0.7708062160106611,0.772533266382124,0.7739900138727415,0.920115659311964
MLP Classifier,0.729098669344715,0.7262721480030111,0.7271674851864333,0.7272923303788698,0.7277302788702298,0.729098669344715,0.7304337244285685,0.8873231302017162
SVM (Linear),0.3853878985689179,0.37419634199684143,0.3740387066523487,0.3803025825102412,0.3798721536052218,0.3853878985689179,0.3856350663963261,
SVM (RBF),0.5121767511925684,0.5053409868569697,0.5057640788324503,0.5412410036687564,0.5417389373614053,0.5121767511925684,0.5129366590469558,
