,count,mean,std,min,25%,50%,75%,max,missing,dtype
price_normalized,19912.0,0.2809108958340465,0.17723170150664166,0.0,0.1629297458893871,0.2451420029895366,0.3378176382660687,1.0,0,float64
price,19912.0,198.9293893129771,118.56800830794326,11.0,120.0,175.0,237.0,680.0,0,float64
price_per_bathroom,19912.0,148.43703146227128,78.6783381061788,3.9,93.33333333333331,136.75,175.0,680.0,0,float64
price_per_bedroom,19912.0,128.27638595933215,68.24513012841467,6.5,83.33333333333333,113.0,175.0,680.0,0,float64
price_per_person,19912.0,55.29773543914012,30.72119327802591,1.5714285714285714,37.5,50.0,62.0,572.0,0,float64
beds,19912.0,2.230012053033347,1.560404555695397,0.0,1.0,2.0,3.0,17.0,0,float64
accommodates,19912.0,4.164222579349136,2.812945244668246,1.0,2.0,4.0,6.0,16.0,0,int64
bedrooms,19912.0,1.641874246685416,1.1212290580557043,0.0,1.0,1.0,2.0,12.0,0,float64
estimated_revenue_l365d,19912.0,18118.38494375251,20735.918147452012,0.0,3080.0,12672.0,24735.0,171360.0,0,float64
value_density,19912.0,0.48030802799030226,1.0856328120266006,0.0,0.00784057748425735,0.0857142857142857,0.4339988298961533,19.60869565217391,0,float64
bathrooms_numeric,19912.0,1.4522398553635998,0.8146053920621911,0.0,1.0,1.0,2.0,11.0,0,float64
neighbourhood_target_encoded,19912.0,0.9998493370831659,0.2647075258525639,0.0,0.756811301715439,0.99009900990099,1.2087286527514232,2.0,0,float64
property_type_frequency,19912.0,0.1511776767556275,0.09485817205287563,5.02209722780233e-05,0.0708115709120128,0.1206307754118119,0.2372940940136601,0.2494977902772197,0,float64
review_to_capacity_ratio,19912.0,22.37171496524713,50.687724274688044,0.0,0.5,4.166666666666667,20.0,902.0,0,float64
property_type_label,19912.0,21.698523503415025,12.880494891152377,0.0,14.0,18.0,30.0,65.0,0,int64
neighbourhood_frequency,19912.0,0.02550734077671762,0.024162866473366122,5.02209722780233e-05,0.0080353555644837,0.0154178384893531,0.0296805946163117,0.0850743270389714,0,float64
host_portfolio_intensity,19912.0,74.94169443467227,374.5946872812892,0.0625,0.5,2.0,10.0,4775.5,0,float64
host_id,19912.0,196076275.2387505,207900158.93650895,29.0,21769361.0,101829888.0,378745096.0,719707118.0,0,int64
space_efficiency,19912.0,1.3366220895750824,0.5992632293673973,0.0,1.0,1.0,2.0,16.0,0,float64
host_years,19912.0,8.3040836215969,3.8839816388473234,0.2299794661190965,5.009582477754963,9.099247091033538,11.19507186858316,17.7741273100616,0,float64
estimated_occupancy_l365d,19912.0,91.50873844917638,95.50772272792128,0.0,0.0,60.0,180.0,255.0,0,int64
space_per_person,19912.0,0.4422127957000144,0.2763912874867131,0.0,0.3333333333333333,0.5,0.5,10.0,0,float64
occupancy_rate,19912.0,0.436678371134361,0.3470007455360223,0.0,0.1068493150684931,0.3506849315068493,0.7616438356164383,1.0,0,float64
availability_rate,19912.0,0.5633216288656389,0.3470007455360223,0.0,0.2383561643835616,0.6493150684931507,0.8931506849315068,1.0,0,float64
availability_365,19912.0,205.6123945359582,126.65527212064814,0.0,87.0,237.0,326.0,365.0,0,int64
booking_flexibility_score,19912.0,0.24057324592795462,0.18009806567536366,0.0008880994671403,0.032258064516129,0.25,0.3333333333333333,0.5,0,float64
review_scores_value,19912.0,4.717246886299718,0.3664228515083714,0.0,4.69,4.79,4.87,5.0,0,float64
reviews_per_month,19912.0,1.5767446765769384,1.8755336995440643,0.01,0.39,1.02,2.2,49.89,0,float64
