Method,N_Features,CV_F1,Test_F1,Test_Accuracy
Baseline (All Features),26,0.9683695011597443,0.9705050801983127,0.9703740898819985
RFE,17,0.9713163158257562,0.9730178597691671,0.9728847602309817
SelectKBest (ANOVA),25,0.9691195102208436,0.972502187691305,0.972382626161185
Importance Threshold,12,0.9700100330862117,0.9745093820361598,0.9743911624403716
Consensus (2+ methods),16,,0.9737569529162299,0.9736379613356766
