Model,Platt_Brier_Improvement_%,Platt_LogLoss_Improvement_%,Isotonic_Brier_Improvement_%,Isotonic_LogLoss_Improvement_%,Best_Method
XGBoost,1.3656981882732029,1.9419696348483177,2.572463344096033,2.1555313809000536,Isotonic
Random Forest,1.7508550098582647,2.096406063343833,3.595603958464339,3.9222110014786518,Isotonic
MLP,4.193622168995537,2.8346936981018036,5.607175032499767,5.929742236934353,Isotonic
