No,Feature_Name,Mean,Median,Std_Dev,Min,Max,Q1,Q3,Skewness,Missing
1,space_efficiency,1.3366220895750824,1.0,0.5992632293673973,0.0,16.0,1.0,2.0,2.7684883617364746,0
2,price_per_bedroom,128.27638595933215,113.0,68.24513012841469,6.5,680.0,83.33333333333333,175.0,1.9940124489386093,0
3,price_per_bathroom,148.43703146227128,136.75,78.6783381061788,3.9,680.0,93.33333333333333,175.0,1.6724377512107718,0
4,occupancy_rate,0.43667837113436103,0.3506849315068493,0.3470007455360223,0.0,1.0,0.10684931506849316,0.7616438356164383,0.3381781595878669,0
5,space_per_person,0.4422127957000144,0.5,0.2763912874867131,0.0,10.0,0.3333333333333333,0.5,6.40702740108798,0
6,host_portfolio_intensity,74.94169443467227,2.0,374.5946872812892,0.0625,4775.5,0.5,10.0,7.112185145084701,0
7,booking_flexibility_score,0.24057324592795462,0.25,0.18009806567536366,0.0008880994671403197,0.5,0.03225806451612903,0.3333333333333333,0.08270538310934934,0
8,value_density,0.023136254525941743,0.020833333333333332,0.014072909309313708,0.0017482517482517483,0.6363636363636364,0.0136986301369863,0.02857142857142857,6.322480387593703,0
9,capacity_utilization,0.6017694070331928,0.5,0.32619565360648406,0.0,16.0,0.5,0.6666666666666666,7.813153376843551,0
10,price_normalized,0.2809108958340465,0.24514200298953662,0.17723170150664166,0.0,1.0,0.16292974588938713,0.33781763826606875,1.559147103597422,0
