threshold,n_features,f1_mean,f1_std
0.001,52,0.7615041530450695,0.011473011913077027
0.005,43,0.7618183982494442,0.012358587787830975
0.01,38,0.761540739692141,0.008246324790943099
0.015,28,0.7584142044363855,0.01353385674232242
0.02,17,0.7493180463416591,0.012424501389472754
0.025,12,0.7390140062483794,0.015359437047194231
0.03,8,0.7232478487757679,0.012272912096961212
0.04,6,0.681228656088871,0.009435167442204562
0.05,3,0.6519732708128924,0.008786156828914262
