No.,Feature Name,Mean,Median,Std Dev,Min,Max,Q1,Q3,Skewness,Missing
1,space_efficiency,1.3366220895750824,1.0,0.5992632293673973,0.0,16.0,1.0,2.0,2.7684883617364746,0
2,price_per_bedroom,128.27638595933215,113.0,68.24513012841469,6.5,680.0,83.33333333333333,175.0,1.9940124489386093,0
3,price_per_bathroom,148.43703146227128,136.75,78.6783381061788,3.9,680.0,93.33333333333333,175.0,1.6724377512107718,0
4,occupancy_rate,0.43667837113436103,0.3506849315068493,0.3470007455360223,0.0,1.0,0.10684931506849316,0.7616438356164383,0.3381781595878669,0
5,booking_flexibility_score,0.24057324592795462,0.25,0.18009806567536366,0.0008880994671403197,0.5,0.03225806451612903,0.3333333333333333,0.08270538310934934,0
6,space_per_person,0.4422127957000144,0.5,0.2763912874867131,0.0,10.0,0.3333333333333333,0.5,6.40702740108798,0
7,host_portfolio_intensity,74.94169443467227,2.0,374.5946872812892,0.0625,4775.5,0.5,10.0,7.112185145084701,0
8,bathroom_to_bedroom_ratio,0.942376585946418,1.0,0.4818686023438817,0.0,10.0,0.75,1.0,7.245247641609077,0
9,price_to_capacity_ratio,45.20813233068858,35.0,37.69325206686087,0.65,332.0,18.341145833333332,59.0,1.883406189645275,0
10,availability_flexibility_score,82.43587124384531,30.5,102.32876377253754,0.0,365.0,6.838709677419355,126.0,1.357830386899102,0
