id,description_sentiment,host_about_sentiment,name_length,name_upper_ratio,desc_length,desc_word_count
6,0.9167,0.9451,47,0.1276595744680851,506,42
12447,0.9551,0.9883,28,0.14285714285714285,523,47
29967,0.9274,0.9552,32,0.0625,232,23
62274,0.7964,0.991,34,0.0,159,16
62949,0.9531,0.96,50,0.14,500,57
75668,0.0,0.9666,24,0.20833333333333334,0,0
77785,0.9184,0.9702,49,0.16326530612244897,447,49
79300,0.0,0.9666,24,0.16666666666666666,0,0
103417,0.34,0.9833,43,0.13953488372093023,494,46
103720,0.7906,0.9321,46,0.13043478260869565,496,43
108349,0.7506,0.8588,50,0.12,247,23
126344,0.9432,0.8588,50,0.16,341,32
132966,0.7269,0.9877,35,0.14285714285714285,247,26
165967,0.0,0.9674,33,0.7575757575757576,551,53
171212,0.9184,0.0,42,0.21428571428571427,191,21
176588,0.6588,0.7579,31,0.3548387096774194,82,9
182428,0.6369,0.9908,50,0.12,330,30
182504,0.8513,0.9933,20,0.2,505,52
184238,0.9647,0.8805,49,0.04081632653061224,475,58
189785,0.949,0.7955,50,0.1,314,38
190225,0.0,0.9716,39,0.10256410256410256,123,11
211583,0.6114,0.9852,47,0.0851063829787234,198,20
213653,-0.2003,0.9612,44,0.1590909090909091,229,21
241210,0.34,0.9723,50,0.16,250,26
246264,0.1531,0.5423,46,0.17391304347826086,367,48
289088,0.3274,0.9716,34,0.14705882352941177,263,30
292285,0.743,0.9381,49,0.22448979591836735,488,62
293133,0.296,0.8225,49,0.08163265306122448,269,36
293609,0.9612,0.9778,50,0.14,250,27
299720,-0.2942,0.4912,34,0.14705882352941177,466,47
323773,0.8779,0.4199,38,0.13157894736842105,270,26
343495,0.0,0.9925,49,0.20408163265306123,82,8
344565,0.0,0.9901,34,0.029411764705882353,0,0
359971,0.0,0.9421,40,0.1,53,7
366811,0.8553,0.9925,42,0.047619047619047616,513,47
373322,0.9766,0.98,27,0.18518518518518517,502,51
385760,0.0,0.9934,39,0.02564102564102564,0,0
395071,0.0,0.0,31,0.12903225806451613,105,11
401431,0.75,0.765,28,0.10714285714285714,277,33
438786,0.877,0.1779,49,0.08163265306122448,478,46
443994,0.7906,0.9337,31,0.16129032258064516,483,43
472433,0.0,0.5994,35,0.14285714285714285,0,0
483688,0.929,0.8765,43,0.13953488372093023,314,27
506774,0.969,0.7304,35,0.14285714285714285,504,44
560227,0.6808,0.8118,41,0.14634146341463414,494,50
561997,0.9831,0.9809,36,0.8611111111111112,485,50
571822,0.7757,0.9869,33,0.18181818181818182,295,32
576112,0.0,0.4404,32,0.125,63,6
585426,0.9601,0.8225,48,0.16666666666666666,346,39
585469,0.0,0.9903,46,0.15217391304347827,42,6
589254,0.8122,0.943,48,0.14583333333333334,296,38
591575,0.9441,0.0,36,0.1388888888888889,499,44
597609,0.9559,0.0,17,0.23529411764705882,491,43
599607,0.0,0.9274,23,0.13043478260869565,0,0
610920,0.9606,0.6369,20,0.2,501,53
651542,0.4753,0.9961,32,0.125,232,20
655822,0.0,0.9731,47,0.19148936170212766,0,0
657051,0.9798,0.9161,47,0.1702127659574468,499,56
693579,0.8439,0.8807,48,0.14583333333333334,405,37
707175,-0.4215,0.4939,50,0.08,245,33
723387,0.9756,0.9802,50,0.18,364,38
741131,0.7717,0.5423,49,0.16326530612244897,452,58
747354,0.986,0.9875,35,0.14285714285714285,501,50
