id,price_normalized,price,price_per_bathroom,price_per_bedroom,price_per_person,beds,accommodates,bedrooms,estimated_revenue_l365d,value_density,bathrooms_numeric,neighbourhood_target_encoded,property_type_frequency,review_to_capacity_ratio,property_type_label,neighbourhood_frequency,host_portfolio_intensity,space_efficiency,host_years,estimated_occupancy_l365d,space_per_person,occupancy_rate,availability_rate,availability_365,review_scores_value,booking_flexibility_score
4404394,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,1.0685714285714285,1.0,1.094972067039106,0.0419847328244274,93.5,12,0.0179791080755323,6.5,2.0,11.137577002053389,0,0.5,0.9726027397260274,0.0273972602739726,10,4.91,0.03125
607506975974174232,0.2242152466367713,161.0,161.0,161.0,80.5,2.0,2,1.0,11270.0,0.0186335403726708,1.0,0.7483388704318937,0.1206307754118119,1.5,10,0.06046605062274,1.0,2.0,12.76933607118412,70,0.5,0.1589041095890411,0.8410958904109589,307,5.0,0.0277777777777777
33773572,0.1973094170403587,143.0,143.0,143.0,71.5,1.0,2,1.0,36465.0,2.5244755244755246,1.0,1.0076923076923077,0.0419847328244274,180.5,12,0.013057452792286,0.5,1.0,12.402464065708418,255,0.5,0.4273972602739726,0.5726027397260274,209,4.87,0.3333333333333333
1240063364177006531,0.3871449925261584,270.0,270.0,90.0,45.0,6.0,6,3.0,0.0,0.0,1.0,0.6168831168831169,0.2372940940136601,0.0,18,0.0850743270389714,0.5,2.0,7.416837782340862,0,0.5,0.0,1.0,365,4.79,0.03125
1197792386599266676,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,0.0,1.0,1.094972067039106,0.1206307754118119,0.0,10,0.0179791080755323,30.5,2.0,5.779603011635865,0,0.5,0.021917808219178,0.978082191780822,357,4.79,0.03125
709928948253988565,0.2451420029895366,175.0,58.333333333333336,58.333333333333336,50.0,2.0,6,3.0,12672.0,0.0114285714285714,3.0,1.2664670658682635,0.1206307754118119,0.3333333333333333,10,0.0167738047408597,0.3333333333333333,0.6666666666666666,13.596167008898014,0,0.5,1.0,0.0,0,5.0,0.032258064516129
996480737945760044,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,0.0,1.0,1.2664670658682635,0.0010546404178384,0.0,24,0.0167738047408597,23.5,2.0,6.1273100616016425,0,0.5,1.0,0.0,0,4.79,0.3333333333333333
10347570,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,1.8171428571428572,1.0,0.8620689655172413,0.0068300522298111,159.0,16,0.0116512655685014,1.5,2.0,12.281998631074606,231,0.5,1.0,0.0,0,4.81,0.25
1131318086803069825,0.6846038863976084,469.0,156.33333333333334,117.25,42.63636363636363,6.0,11,4.0,50652.0,0.0618336886993603,3.0,0.5343137254901961,0.2494977902772197,2.636363636363636,14,0.040980313378867,0.2727272727272727,1.5,8.0766598220397,108,0.3636363636363636,0.0465753424657534,0.9534246575342464,348,4.93,0.5
33942501,0.1838565022421524,134.0,67.0,67.0,26.8,2.0,5,2.0,0.0,0.0373134328358208,2.0,1.1688311688311688,0.1206307754118119,1.0,10,0.0154680594616311,0.2,1.0,6.872005475701574,0,0.4,0.0821917808219178,0.9178082191780822,335,4.6,0.03125
1146778936705707762,0.1988041853512705,144.0,144.0,144.0,36.0,2.0,4,1.0,36720.0,0.4791666666666667,1.0,0.9659863945578232,0.2494977902772197,17.25,14,0.0295299316994777,235.75,2.0,11.285420944558522,255,0.25,0.8904109589041096,0.1095890410958904,40,4.77,0.3333333333333333
