metric,RBF,Linear,Difference
Test Accuracy,0.9440120512176752,0.9327140346472508,0.011298016570424396
F1-Score,0.9441856946568343,0.933080827541294,0.011104867115540373
Training Time (s),1.4631659984588623,0.6161830425262451,0.8469829559326172
Support Vectors,2808.0,1256.0,1552.0
