price,accommodates,bedrooms,beds,latitude,longitude,host_is_superhost,host_identity_verified,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label
175.0,2,1.0,2.0,37.8076,-122.41317,1.0,1.0,1.0,1,1,365,10,31,56,67,2.0,175.0,175.0,False,True,False,51,0.0708115709120128,0.0116010445962233,79
201.0,7,3.0,4.0,32.73108,-117.05526,0.0,1.0,1.0,1,3,1125,20,50,80,349,1.3333333333333333,67.0,100.5,True,False,False,14,0.2494977902772197,0.0026114905584572,38
333.0,6,2.0,3.0,37.7890848,-122.4129685,0.0,1.0,1.0,0,2,365,10,23,46,284,1.5,166.5,333.0,True,False,False,10,0.1206307754118119,0.06046605062274,29
175.0,4,1.0,2.0,32.719776355989765,-117.15699332441966,0.0,0.0,1.0,1,3,5,0,0,0,0,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.00863800723182,23
104.0,2,1.0,1.0,32.74648964749759,-117.12167640327668,0.0,1.0,1.0,0,31,200,0,0,12,287,1.0,104.0,104.0,True,False,False,13,0.0311872237846524,0.0276717557251908,82
178.0,5,3.0,5.0,32.70652389526367,-117.142822265625,1.0,0.0,1.0,0,4,30,15,39,63,258,1.6666666666666667,59.333333333333336,89.0,True,False,False,14,0.2494977902772197,0.0096926476496584,46
137.0,4,2.0,2.0,32.71079,-117.15596,0.0,1.0,1.0,0,31,365,9,39,69,344,1.0,68.5,68.5,True,False,False,18,0.2372940940136601,0.0264664523905182,31
58.0,1,1.0,1.0,32.6296325,-117.0455186,0.0,1.0,0.0,0,30,365,28,58,88,267,1.0,58.0,58.0,False,True,False,37,0.0874849337083165,0.006478505423865,83
218.0,2,1.0,1.0,32.69748,-117.1426,1.0,1.0,1.0,0,3,90,19,39,69,111,1.0,218.0,218.0,True,False,False,14,0.2494977902772197,0.0011550823623945,4
203.0,2,1.0,1.0,37.78773,-122.40768,1.0,1.0,1.0,0,2,28,29,59,89,127,1.0,203.0,101.5,False,True,False,49,0.0121534752912816,0.06046605062274,29
175.0,3,1.0,2.0,32.73788,-117.10936,1.0,1.0,1.0,0,2,7,18,33,41,217,2.0,175.0,175.0,False,True,False,35,0.004419445560466,0.0085375652872639,18
323.0,9,3.0,6.0,32.70808,-117.13807,1.0,1.0,1.0,0,2,1125,20,50,74,349,2.0,107.66666666666669,161.5,True,False,False,23,0.002159501807955,0.0096926476496584,46
150.0,2,1.0,2.0,37.7891721,-122.4297053,1.0,1.0,1.0,0,30,90,0,0,8,188,2.0,150.0,150.0,True,False,False,10,0.1206307754118119,0.0242567296102852,135
175.0,1,1.0,2.0,37.7827,-122.48739,0.0,0.0,1.0,0,365,1125,28,56,85,360,2.0,175.0,175.0,False,True,False,40,0.0393230212936922,0.0093411008437123,90
145.0,4,2.0,3.0,32.75397007857755,-117.2487416832934,0.0,1.0,0.5,0,31,365,29,51,56,205,1.5,72.5,145.0,True,False,False,14,0.2494977902772197,0.0295299316994777,85
